\# Annotated examples,Approach,\# n_train_column_tasd,\# n_train_column_asqp,rest15_tasd_f1,rest15_asqp_f1,rest16_tasd_f1,rest16_asqp_f1,flightabsa_tasd_f1,flightabsa_asqp_f1,coursera_tasd_f1,coursera_asqp_f1,hotels_tasd_f1,hotels_asqp_f1,tasd_avg,asqp_avg
10,EDA \textbackslash w Paraphrase,30,30,13.146461107217936,1.73862290518769,7.6748765253326585,11.411762532778024,10.786026200873362,4.421699078812692,17.972972972972972,6.607538802660753,22.047705108912943,3.471645708862323,14.325608383061972,5.530253805660296
10,EDA \textbackslash w Paraphrase,60,60,23.19952244767572,10.417978451409212,16.352881487230253,12.295663481538321,19.25764192139738,10.988229194380454,23.620741175558937,9.469763830712823,25.850554025101076,6.149082219035896,21.65626821139267,9.86414343541534
10,EDA \textbackslash w Paraphrase,110,110,26.072002684813576,10.523998444677549,16.824969892908108,12.675246263664928,21.83406113537118,13.458555455779031,25.669487421763485,10.350978568985688,24.94992402827123,5.837236388339209,23.070089032625514,10.569203024289282
10,EDA \textbackslash w Paraphrase,160,160,25.5277852112771,10.082071621644037,18.34448085814295,12.31733147687943,21.572052401746724,12.392423207170719,25.60072199909546,12.333124595547947,24.939411194054834,7.031008433894473,23.196890332863415,10.83119186702732
10,EDA \textbackslash w DLO,30,30,24.576487915234903,6.741815125132999,16.96746056029337,9.265432804069372,21.17903930131005,12.132693517979972,28.141061853502414,9.747765613555949,22.725670527367537,5.979675976294505,22.717944031541656,8.77347660740656
10,EDA \textbackslash w DLO,60,60,26.650779987001442,8.681072444535733,18.06095350412402,10.701859802038642,21.65938864628821,12.398305661368143,28.246453380975073,11.725481234586846,23.951510823763414,7.5130484858713515,23.71381726843043,10.203953525680143
10,EDA \textbackslash w DLO,110,110,30.181198740457432,9.340943120997718,19.159064595149335,11.80149931913233,22.663755458515283,11.949078835759675,28.82875051446856,14.189198762811676,25.65453503037932,7.882941694019164,25.297460867793983,11.032732346544112
10,EDA \textbackslash w DLO,160,160,29.102923502584247,8.066350807262847,19.592252254497858,11.825504594462675,22.05240174672489,12.127611221861375,27.402428448508807,13.362525038394299,27.04355173050201,6.940418035722819,25.03871153656356,10.464481939540802
50,EDA \textbackslash w Paraphrase,150,150,42.69803458575521,27.548524373660378,41.587926435510575,28.77820188381739,40.725908987073936,28.264791295956705,36.46985484775887,19.903616449848887,43.44249428873777,27.95539490142543,40.98484382896727,26.490105780941757
50,EDA \textbackslash w Paraphrase,300,300,42.29365650142934,28.963782065398032,42.56994042303056,29.39773505763453,42.802600546874196,30.31731496255646,36.84526369492154,21.08298115109094,44.668029016372444,28.044033573368687,41.83589803652561,27.56116936200973
50,EDA \textbackslash w Paraphrase,550,550,41.83345239001225,28.698521478547388,43.011641989699335,30.200303320870194,41.62117609123453,31.035628539812556,35.840515360870455,21.3658009433755,42.6968309665634,27.96868649433953,41.000723359675995,27.853788155389037
50,EDA \textbackslash w Paraphrase,800,800,40.78235246918865,27.814197306268575,40.81203828969436,28.800244172685524,42.01778785013592,31.920550037573644,36.488736809028005,21.218003968083785,43.44873880700079,27.382106709444873,40.70993084500954,27.42702043881128
50,EDA \textbackslash w DLO,150,150,43.8551418237106,30.406282471204527,45.76965980839542,33.519179433062995,44.10986309438552,34.84310073757695,37.814718752889306,23.528220585468247,45.8906575451179,31.387195849501826,43.48800820489974,30.73679581536291
50,EDA \textbackslash w DLO,300,300,43.95337496737845,30.903539843683898,46.276992098268614,34.41568628823855,44.89605155267371,36.37179190319116,38.31723577616421,23.525850041019034,45.19749570608857,32.552606780707336,43.72823002011471,31.553894971367992
50,EDA \textbackslash w DLO,550,550,44.13742609745451,30.925355675482376,45.71900340830007,34.58894200939697,45.64209708541681,36.72556696451536,37.88634516599761,24.565981725665218,45.716405515711955,32.5064337341039,43.820255454576184,31.862456021832763
50,EDA \textbackslash w DLO,800,800,41.706529252818605,28.819335490181494,42.09564848822569,31.67620329232137,45.572518202958896,34.091240380498526,36.54749745302486,23.328124559933844,44.611805435873364,31.131608436046058,42.106799766580274,29.809302431796254
